id;tracking_code;date;details;invoice_id
1;contextually-based;2019-10-29T23:27:11;Jewelery cutting-edge;1
2;Games;2019-10-30T02:44:23;supply-chains magenta;2
3;encompassing;2019-10-30T09:08:19;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-10-29T15:53:56;Quality-focused;4
5;card Plastic;2019-10-29T15:03:07;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-10-30T09:14:53;Granite Berkshire Designer;6
7;Credit Card Account;2019-10-30T13:03:25;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-10-30T02:08:21;Licensed hacking installation;8
9;Argentine Peso;2019-10-29T18:23:50;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-10-30T10:48:46;Yen synthesize Creative;10
